,id,denial_constraint,succinctness,coverage,deegre of approximation,interestingness
0,2,"['¬((t0.""PhoneNumber"" ""EQUAL"" t1.""PhoneNumber"") ^ (t0.""MeasureName"" ""EQUAL"" t1.""MeasureName""))']",0.8,0.5111111111111111,0.0,0.7997111111111112
1,6,"['¬((t0.""PhoneNumber"" ""LESS_EQUAL"" t1.""PhoneNumber"" ^ (t0.""ZIPCode"" ""GREATER_EQUAL"" t1.""ZIPCode"") ^ (t0.""CountyName"" ""UNEQUAL"" t1.""CountyName"") ^ (t0.""City"" ""EQUAL"" t1.""City""))']",0.4,0.7527777777777778,0.0,0.4003527777777778
2,8,"['¬((t0.""HospitalType"" ""UNEQUAL"" t1.""HospitalType"" ^ (t0.""Sample"" ""EQUAL"" t1.""Sample"") ^ (t0.""City"" ""EQUAL"" t1.""City"") ^ (t0.""MeasureName"" ""EQUAL"" t1.""MeasureName""))']",0.5,0.35555555555555557,0.0,0.49985555555555555
3,10,"['¬((t0.""State"" ""EQUAL"" t1.""State"" ^ (t0.""StateAvg"" ""UNEQUAL"" t1.""StateAvg"") ^ (t0.""MeasureName"" ""EQUAL"" t1.""MeasureName""))']",0.5714285714285714,0.725925925925926,0.0,0.5715830687830687
4,11,"['¬((t0.""CountyName"" ""UNEQUAL"" t1.""CountyName"" ^ (t0.""Sample"" ""EQUAL"" t1.""Sample"") ^ (t0.""City"" ""EQUAL"" t1.""City""))']",0.5714285714285714,0.6666666666666667,0.0,0.5715238095238095
5,12,"['¬((t0.""HospitalType"" ""UNEQUAL"" t1.""HospitalType"" ^ (t0.""HospitalOwner"" ""EQUAL"" t1.""HospitalOwner"") ^ (t0.""Sample"" ""EQUAL"" t1.""Sample"") ^ (t0.""City"" ""EQUAL"" t1.""City""))']",0.5,0.37777777777777777,0.0,0.49987777777777775
6,14,"['¬((t0.""HospitalName"" ""EQUAL"" t1.""HospitalName"") ^ (t0.""MeasureName"" ""EQUAL"" t1.""MeasureName""))']",0.8,0.5111111111111111,0.0,0.7997111111111112
7,15,"['¬((t0.""City"" ""UNEQUAL"" t1.""City"" ^ (t0.""HospitalName"" ""EQUAL"" t1.""HospitalName"") ^ (t0.""ProviderNumber"" ""LESS_EQUAL"" t1.""ProviderNumber"") ^ (t0.""PhoneNumber"" ""GREATER_EQUAL"" t1.""PhoneNumber""))']",0.4,0.7444444444444445,0.0,0.40034444444444445
8,17,"['¬((t0.""City"" ""UNEQUAL"" t1.""City"" ^ (t0.""HospitalName"" ""EQUAL"" t1.""HospitalName"") ^ (t0.""ProviderNumber"" ""LESS_EQUAL"" t1.""ProviderNumber"") ^ (t0.""ZIPCode"" ""LESS_EQUAL"" t1.""ZIPCode""))']",0.4444444444444444,0.7472222222222222,0.0,0.4447472222222222
9,25,"['¬((t0.""HospitalOwner"" ""EQUAL"" t1.""HospitalOwner"" ^ (t0.""StateAvg"" ""UNEQUAL"" t1.""StateAvg"") ^ (t0.""CountyName"" ""EQUAL"" t1.""CountyName"") ^ (t0.""MeasureName"" ""EQUAL"" t1.""MeasureName""))']",0.5,0.5333333333333332,0.0,0.5000333333333333
10,27,"['¬((t0.""HospitalOwner"" ""EQUAL"" t1.""HospitalOwner"" ^ (t0.""ProviderNumber"" ""LESS_EQUAL"" t1.""ProviderNumber"") ^ (t0.""MeasureCode"" ""EQUAL"" t1.""MeasureCode"") ^ (t0.""City"" ""EQUAL"" t1.""City""))']",0.5,0.4138888888888889,0.0,0.4999138888888889
11,28,"['¬((t0.""HospitalOwner"" ""EQUAL"" t1.""HospitalOwner"" ^ (t0.""Sample"" ""EQUAL"" t1.""Sample"") ^ (t0.""ZIPCode"" ""UNEQUAL"" t1.""ZIPCode"") ^ (t0.""City"" ""EQUAL"" t1.""City""))']",0.5,0.5277777777777777,0.0,0.5000277777777777
12,30,"['¬((t0.""HospitalType"" ""UNEQUAL"" t1.""HospitalType"" ^ (t0.""HospitalOwner"" ""EQUAL"" t1.""HospitalOwner"") ^ (t0.""City"" ""EQUAL"" t1.""City"") ^ (t0.""MeasureName"" ""EQUAL"" t1.""MeasureName""))']",0.5,0.38333333333333336,0.0,0.49988333333333335
13,31,"['¬((t0.""HospitalType"" ""UNEQUAL"" t1.""HospitalType"" ^ (t0.""Sample"" ""EQUAL"" t1.""Sample"") ^ (t0.""CountyName"" ""EQUAL"" t1.""CountyName"") ^ (t0.""MeasureName"" ""EQUAL"" t1.""MeasureName""))']",0.5,0.35555555555555557,0.0,0.49985555555555555
14,33,"['¬((t0.""HospitalType"" ""UNEQUAL"" t1.""HospitalType"" ^ (t0.""HospitalOwner"" ""EQUAL"" t1.""HospitalOwner"") ^ (t0.""ZIPCode"" ""EQUAL"" t1.""ZIPCode""))']",0.5714285714285714,0.5037037037037038,0.0,0.5713608465608465
15,34,"['¬((t0.""ProviderNumber"" ""LESS"" t1.""ProviderNumber"" ^ (t0.""ZIPCode"" ""EQUAL"" t1.""ZIPCode"") ^ (t0.""Condition"" ""EQUAL"" t1.""Condition"") ^ (t0.""Sample"" ""EQUAL"" t1.""Sample""))']",0.5,0.4305555555555555,0.0,0.49993055555555554
16,36,"['¬((t0.""CountyName"" ""UNEQUAL"" t1.""CountyName"" ^ (t0.""HospitalName"" ""EQUAL"" t1.""HospitalName"") ^ (t0.""ProviderNumber"" ""LESS_EQUAL"" t1.""ProviderNumber"") ^ (t0.""PhoneNumber"" ""GREATER_EQUAL"" t1.""PhoneNumber""))']",0.4,0.7444444444444445,0.0,0.40034444444444445
17,37,"['¬((t0.""ProviderNumber"" ""UNEQUAL"" t1.""ProviderNumber"" ^ (t0.""HospitalType"" ""EQUAL"" t1.""HospitalType"") ^ (t0.""ZIPCode"" ""EQUAL"" t1.""ZIPCode"") ^ (t0.""Sample"" ""EQUAL"" t1.""Sample""))']",0.5,0.6611111111111112,0.0,0.5001611111111111
18,39,"['¬((t0.""CountyName"" ""UNEQUAL"" t1.""CountyName"" ^ (t0.""HospitalName"" ""EQUAL"" t1.""HospitalName"") ^ (t0.""ProviderNumber"" ""LESS_EQUAL"" t1.""ProviderNumber"") ^ (t0.""ZIPCode"" ""LESS_EQUAL"" t1.""ZIPCode""))']",0.4444444444444444,0.7472222222222222,0.0,0.4447472222222222
19,40,"['¬((t0.""MeasureCode"" ""EQUAL"" t1.""MeasureCode"") ^ (t0.""Condition"" ""UNEQUAL"" t1.""Condition""))']",0.6666666666666666,0.9111111111111112,0.0,0.666911111111111
